Abbreviation;Nghĩa (Tiếng Việt);Full Form (Tiếng Nga);
9B385M;Máy phóng (thiết bị phóng);9B385M;
9B738M;Thiết bị kiểm tra mạch phóng;9B738M;
9C16;Ra đa thụ động;9C16;
9C86;Máy đánh giá vùng;9C86;
BH;Điều khiển đứng;Вертикальное Наведение;
HD;Hiển thị độ cao/cự ly;– индикатор Высота/Дальность;
MTO;Xe bảo dưỡng kỹ thuật A89;Машина Технического Обслуживания;
TXП;Ống chuẩn trực;Трубка Холодного Прицеливания;
АБ;ắc quy;аккумуляторная батарея;
АВТ;tự động;автоматический;
АВТ. КОНТР;tự động kiểm tra;автоматический контроль;
АЗ ;Thiết bị khởi động/phóng;Аппаратура Запуска;
АК;bộ bù khử;автокомпенсатор;
АКБ ;Ắc quy/Pin ắc quy;Аккумуляторная Батарея;
АКП;Bộ bù khử nhiễu;автокомпенсатор помех;
АМИ;Xung điều biên;амплитудно-модулированный импульс;
Ант;Anten ;антенна;
АОЗ;Thiết bị đánh giá khu vực/vùng;Аппаратура Оценки Зоны;
АОС;bộ phân tích tín hiệu trả lời;анализатор ответных сигналов;
АПЦ ;Thiết bị thu nhận chỉ thị mục tiêu;Аппаратура Приема Целеуказаний;
АПЧ ;Điều chỉnh tần số tự động;Автоматическая Подстройка Частоты;
АРУ;Tự động điều chỉnh hệ số khuếch đại;автоматическая регулировка усилитель;
АРЦ ;Thiết bị thực hiện chỉ thị mục tiêu;Аппаратура Реализации Целеуказаний;
АС;hệ thống anten;антенная система;
АС;tự động bám sát;автоматическое сопровождение;
АСК;Hệ thống tự động kiểm tra và dự báo;– автоматизированная система контроля и диагностики;
АСН;thiết bị định vị vệ tinh;аппаратура спутниковой навигации;
АСУ;hệ thống tự động điều khiển;– автоматизированная система управления;
АСУ;Hệ thống tự động điều khiển;автоматизированная система управления;
Атт;bộ suy giảm;Аттенюатор;
АФУ;anten phi đơ;Антенно-фидерные устройства;
АФХ;đặc tính biên pha;амплитудно-фазовая характерисчика;
АЦП;biến đổi tương tự số;аналого-цифровой преобразователь;
АЦУ ;Chỉ thị mục tiêu tự động;Автоматическое Целеуказание;
АЧХ;đặc tính biên tần;амплитудно-частотная характерисчика;
БP;Khối rơ le;Блок релейный;
БY;Khối khuếch đại;Блок усилителя;
БYП;Khối điều khiển truyền động;Блок управления приводом;
БВН ;Khối đo thời gian tích lũy;блок временной наработки;
БЗУ;thiết bị nhớ đệm;Буферное запоминающее устройство;
БИ;Khối hiển thị;Блок индикации;
БК ;Khối chuyển mạch/kết nối;Блок Коммутации;
БКМЭ;khối chuyển mạch;блок коммутации БКМЭ-75Б;
БКФС;khối chuyển mạch, tăng cường và ổn định;блок коммутации, форсажа и стабилизации;
БЛ ;Khóa/Chốt;Блокировка;
БМ ;Xe chiến đấu;Боевая Машина;
БП;Khối trộn;Блок подмеса;
БПА;bộ chuyển mạch nhanh anten;быстродействующий переключатель антенн;
БПУ ;Khối chuyển đổi và điều khiển;Блок Преобразования и Управления;
БР;chế độ chiến đấu;боевый режим;
БР;tên lửa đạn đạo;– баллистическая ракета;
БС ;Khối liên lạc;Блок Связи;
БУП ;khối điều khiển truyền động;блок управления приводами ;
БФУ ;Khối dẫn hướng pha;Блок Фазированного Увода;
БЦН;bơm xăng ly tâm;бензоцентробежный насос;
ВАРУ;tự động điều chỉnh khuếch đại theo thời gian;временная автоматическая регулировка усиления;
ВБ;bộ ngắt mạch bảo hiểm;выключатель безопасности;
ВВВ;Bộ nắm dòng cao áp;Высоковольный выпрямитель;
ВВО;ra đa phát hiện mọi độ cao;Всевысотное обнаружитель;
ВГУ;Máy phát điện bổ trợ;Вспомогательная генераторная установка;
ВИП ;Nguồn cấp điện thứ cấp;Вторичный Источник Питания;
вкл;bật;включение;
ВО;vật thể bay trên không;– воздушный объект;
ВОИ;xử lý thông tin cấp 2;– вторичная обработка информации;
ВОЛС;truyền thông cáp quang;– волоконно-оптическая линия связи;
ВРМ;Vị trí làm việc bên ngoài;– выносное рабочее место;
ВУ;Thiết bị nắn;выпрямительное устройство;
ВУ ; Bộ tính toán dự báo;Вычислитель Упреждения;
ВФТ;tuyến ống sóng phi đơ;волноводно-фидерный тракт;
вх;đầu vào;вход;
выкл;tắt;выключение;
вых;đầu ra;выход;
ГH;Điều khiển ngang;Горизонтальное Наведение;
ГГС;Hệ thống liên lạc;– громкоговорящая связь;
ГО;nhận dạng bảo đảm;гарантированное опознавание;
ГО-27;thiết bị trinh sát phóng xạ và hóa học;прибор радиационно-химической разведки ГО-27;
ГСМ;Nhiên liệu và vật chất bôi trơn;– горючие и смазочные материалы;
ГСН ;Đầu tự dẫn;Головка Самонаведения;
ГТА;máy phát điện tua bin khí;– газотурбинный агрегат;
ГТИ;máy phát xung nhịp;генератор тактовых импульсов;
ГШ;Máy phát tạp;генератор шума;
ДИАП;dải tần;диапазон;
ДПЛА;Thiết bị không người lái điều khiển từ xa;– дистанционно пилотируемый летательный аппарат;
ДР;Chế độ trực ban;Дежурный режим;
ДУ;điều khiển từ xa;дистанционное управление;
ДЭС;Nguồn điện điezen;– дизельная электростанция;
ЗГ;máy phát chủ;задающий генератор;
ЗИП ;Vật tư phụ tùng dự phòng;– запасное имущество и приборы;
ЗМ;xe nạp đạn;заряжающая машина 22Т6Е;
ЗРВ;binh chủng tên lửa cao xạ;– зенитные ракетные войска;
зрдн ;Tiểu đoàn tên lửa cao xạ;– зенитный ракетный дивизион;
ЗРК;Tổ hợp tên lửa phòng không;Зенитный ракетный комплекс;
зрп;Trung đoàn tên lửa cao xạ;– зенитный ракетный полк;
ЗУР ;Tên lửa phòng không có điều khiển;Зенитная Управляемая Ракета;
ИК ;Hồng ngoại;Инфракрасный;
ИКО;Màn hình tình báo ra đa;– индикатор кругового обзора;
ИМИТ;tạo giả;имитатор;
ИО;nhận dạng cá nhân;индивидуальное опознавание;
КА;anten bù khử;компенсационная антенна;
КАП;đầu cuối cụm phương vị;конец азимутального пакета;
КВ;Hộp ngắt hành trình;путевой (конечный) выключатель;
КД;mã hiện hành;ключ действующий;
КЗ;ngắn mạch;короткое замыкание;
КИП;thiết bị đo kiểm tra;контрольно-измерительные приборы;
КМ;vi mạch chuyển mạch;коробка микропереключателей;
КО;kiểm tra quan sát;контрольное осмотр;
КОМБ;chế độ điều khiển kết hợp;комбинированный режим управления;
КОНТР. ЯЧ ;kiểm tra mảng;"контроль ячеек;";
КП;hộp chuyển tiếp;переходная коробка;
КП;mã kế tiếp;ключ последующий;
КП ;sở chỉ huy;– командный пункт;
КПМ ;Xe kiểm tra – thử nghiệm;Контрольно-Проверочная Машина;
КСА;Tổ hợp thiết bị tự động hóa;– комплекс средств автоматизации;
КСС;Kênh liên lạc;– канал служебной связи;
КЧ;phần chuyển động (cần bệ phóng);качающаяся часть;
КШ;hệ số tạp;коэффициент шума;
ЛА;thiết bị bay;– летательный аппарат;
ЛПП ;Bộ thu phát tín hiệu;Литерный Приемо-Передатчик;
ЛЧМ;điều tần tuyến tính;Линейно-частотная модуляция;
МБ;cơ cấu khóa truyền;механизм блокировки;
МД ;Đĩa điều biến;Модулирующий Диск;
МДС;cơ cấu cảm biến vận tốc;механический датчик скорости;
МПУ;khối điều khiển tại chỗ;местный пульт управления;
МШУ;bộ khuếch đại tạp âm thấp;малошумящий усилитель ;
НЕИСПР;hỏng hóc;неисправность;
НРЗ;Máy hỏi; Наземный радиолокационный запросчик;
НРЗ ;Hệ thống truy vấn radar mặt đất;Наземный Радиолокационный Запросчик;
НС ; Bộ tích lũy tín hiệu;Накопитель Сигналов;
ОГП;xác định chủ quyền quốc gia;– определение государственной принадлежности;
ОМП;vũ khí hủy diệt hàng loạt;– оружие массового поражения;
ОО;nhận dạng chung;общее опознавание;
ОПУ;thiết bị trụ xoay;опорно-поворотное устройство;
ОСЛАБ;suy giảm;"ослабление;";
ОСЦИЛ;o-xi-lô;"осциллограф;";
ПB;Bơm khí;Пневматический Насос;
ПH;Bảng điều khiển;Панель Наведения;
ПO;Bảng điều khiển người vận hành;Панель Оператора;
ПO2;Bảng số 2 của người vận hành;Панель Оператора 2;
ПАЗ;thiết bị bảo vệ khỏi vũ khí hạt nhân;– противоатомная защита;
ПАП;nguồn nhiễu tích cực;– постановщик активных помех;
ПБЛ;chế áp cánh sóng phụ;подавление боковых лепестков;
ПВ;tủ đặt bên ngoài;выносной пульт;
ПВО;phòng không;противовоздушная оборонна;
ПИ;Khối hiển thị;Пульт индикации ;
ПИУП;Khối điều khiển và điều khiển;Пульт индикации и управления;
ПК;bảng cáp cabin ô tô;кабинный пульт;
ПМУ;Khối điều khiển tại chỗ;Пульт местного управления;
ПН ; Bảng điều khiển định hướng/ngắm bắn;Пульт Наведения;
ПНП;chế áp nhiễu xung không đồng bộ;подавление несинхронных помех;
ПНС;Máy bơm;переносная насосная станция;
ПО;phần mềm;програмное обеспечение;
ПОИ;xử lý thông tin cấp 1;– первичная обработка информации;
ПОК;dấu hiệu tín hiệu trả lời;признак ответного кода;
ПОУ ;Bảng điều khiển tác chiến;Пульт Оперативного Управления;
ПРД;hệ thống phát;передающая система;
ПРД;hệ thống thu;приемная система;
ПРЕОБР;bộ biến đổi;преобразователь;
ПРП;Thiết bị định vị vô tuyến thụ động;Пассивный Радиопеленгатор;
ПРР;Tên lửa chống ra đa;– противорадиолокационная ракета;
ПРС;Tên lửa chống ra đa;– противорадиолокационный снаряд;
ПСП ;Bo mạch chọn lọc nhiễu;Плата Селекции Помех;
ПУ ;Bệ phóng;Пусковая установка;
ПУ ;Bộ điều khiển;– пульт управления;
ПУСП;bộ tiền khuếch đại ;предварительный усилитель сигналов передачика;
ПХЗ;Thiết bị bảo vệ khỏi vũ khí hóa học;– противохимическая защита;
ПЧ;trung tần;Промежуточная частота;
РАЗРЕШ. МЕСТН;cho phép tại chỗ;"разрешение местное;";
РИ;công suất máy phát;мощность передатчика с выхода изделия;
РК;Chế độ kiểm tra bảo dưỡng;Регламентный режим;
РК;Chế độ kiểm tra bảo dưỡng;режим контроля;
РЛИ;thông tin ra đa vô tuyến;радиолокационная информация;
рлр ;Đại đội ra đa;– радиолокационная рота;
РЛС;Trạm ra đa;радиолокационная станция;
РМО;Vị trí làm việc của trắc thủ;– рабочее место оператора;
РО1…РО4;Các chế độ quan sát ;– режимы обзора;
РПН;đài điều khiển và chiếu xạ;– радиолокатор подсвета и наведения;
РПрУ;thiết bị thu vô tuyến;Радиоприемное устройство;
РПУ ;Máy biến tần;– распределительно-преобразовательное устройство;
РРЛ;Liên lạc chuyển tiếp vô tuyến;– радиорелейная линия;
РРС;Trạm chuyển tiếp vô tuyến;– радиорелейная станция;
Рс;độ nhạy máy thu;чувствительность по срабатыванию приёмника со входа изделия;
ртб ;Tiểu đoàn ra đa kỹ thuật;– радиотехнический батальон;
РТВ ;Binh chủng ra đa kỹ thuật;– радиотехнические войска;
РТС;Thiết bị ra đa kỹ thuật;– радиотехнические средства;
РТЭ;Hướng dẫn sử dụng kỹ thuật;Руководство по технической эксплуатации;
РЭ;Hướng dẫn sử dụng;– руководство по эксплуатации;
РЭА;Thiết bị vô tuyến điện tử;Радиоэлектронная аппарата;
РЭС;thiết bị vô tuyến điện tử;– радиоэлектронные средства;
С;máy bay;самолёт;
САЭС;hệ thống nguồn điện tại chỗ;средства автономного электроснабжения;
СБ;tín hiệu báo nạn;сигнал бедствия;
СВЧ;Siêu cao tần;– сверхвысокие частоты;
СВЭП;Nguồn điện ngoài;– средства внешнего электроснабжения;
СД ;Thiết bị đo TỐC ĐỘ-CỰ LY;Измеритель СКОРОСТЬ-ДАЛЬНОСТЬ;
СИ;xung đồng bộ;Синхроимпульс;
С-К;công tắc máy bay tàu thuyền;переключатель «Самолёт- Корабль»;
СКО;kỳ vọng toán học;среднеквадратическая ошибка;
СМЕЩ;trộn;смещение;
СО;bảo dưỡng mùa;Сезонное обслуживание;
СОО;chuỗi tín hiệu nhận dạng chung;серия сигналов общего опознавания;
СОТР;Hệ thống đảm bảo nhiệt độ;Система обеспечения теплового режима;
СРС;Hệ thống liên lạc bằng giọng nói;– система речевой связи;
ССГККУ;Hệ thống tự định hướng con quay hồi chuyển;Система самоориентирующаяся гороскопическая курсокреноуказания ;
ССП;Bộ truyền động theo dõi đồng bộ;синхронно-следящий привод;
СТРОБИР;cửa sóng;стробирование;
СУЛТ;Ổn định mức báo động nhầm;Стабилизация уровня ложных тревог;
СЭПР;hệ thống nguồn điện tên lửa;система электропитания ракет;
СЭС;Hệ thống nguồn điện;– средства электроснабжения;
ТА;phương vị hiện tại;текущий азимут;
ТеО;Bảo dưỡng định kỳ;Текущее обслуживание;
ТКС;truyền thông mã hóa telecode;– телекодовый канал связи;
ТНА-3;Thiết bị dẫn đường xe tăng TNA-3;Танковая Навигационная Аппаратура-3;
ТО;bảo dưỡng kỹ thuật;– техническое обслуживание;
ТПК;ống phóng và vận chuyển đạn tên lựa;транспортно-пусковой контейнер;
ТР;chế độ luyện tập;режим тренировки;
ТЭЗ;linh kiện tương đương thay thế;– типовой элемент замены;
УВО;Thiết bị làm mát ;Устройство воздушного обслуживания;
УЗС;"Hệ thống điều khiển, bảo vệ và báo hiệu";"Устройство упвавления, защиты и сигнализации";
УКК;Hệ thống kiểm tra và đồng bộ;Устройство контроля и коммутации;
УМ;Khuếch đại công suất;Усилитель мощности;
УПЧ;Khuếch đại công suất trung tần;Усилитель промежуточной мощности;
ФАР;Anten mạng pha;Фазированная антенная решетка;
ФВУ;thiết bị lọc độc;– фильтро-вентиляционная установка;
ФВУ ;Thiết bị lọc thông gió;Фильтровентиляционная Установка;
ФВЧ;bộ lọc tần số cao;Фильтр высоких частот;
ФЗС и УРР;Tạo tín hiệu thăm dò và điều khiển chế độ làm việc;Формирование зондирующего сигнала и управление режима работы;
ФК ;Tương phản quang học;Фотоконтрастный;
ФК ПБР;kiểm tra chức năng trước khi chiến đấu;– функциональный контроль перед боевой работой;
ФНЧ;bộ lọc tần số thấp;Фильтр низких частот;
ЦВК;máy tính xử lý trung tâm;– центральный вычислительный комплекс;
ЦК;kênh mục tiêu;– целевой канал;
ЦУ;chỉ thị mục tiêu;– целеуказание;
ЦУ;Chỉ thị mục tiêu;Целеуказание;
ШАРУ;Điều chỉnh khuếch đại tự động theo nhiễu;шумовая автоматическая регулировка усиления;
ШДС;bộ mã hóa giải mã tín hiệu;шифратор-дешифратор сигналов;
ЭВМ;máy tính điện toán;– электронная вычислительная машина;
ЭГП;truyền động điện thủy lực;электрогидропривод;
экв;anten tương đương;эквивалентная антенна;
ЭМС;tương thích điện từ;– электромагнитная совместимость;
ЭОП;diện tích phản xạ hiệu dụng;– эффективная отражающая поверхность;
ЭСУ;bộ khuếch đại tĩnh điện;электростатический усилитель;
